流域,MSE,R²
cluster_1\01350080.csv,1990.4338370362398,0.6041413163516648
cluster_1\01350140.csv,1693.014825577872,0.4698510408761283
cluster_1\01365000.csv,17056.430955686676,0.13086543999238687
cluster_1\01414500.csv,1175.8639565250426,0.8349263681558705
cluster_1\01415000.csv,5704.758560103136,0.5169374814770814
cluster_1\01434025.csv,168.8558557393979,0.35046151561114547
cluster_1\01435000.csv,35731.82660665674,0.538397216535674
cluster_1\01440400.csv,11813.120304169139,0.7947503762020984
cluster_1\01451800.csv,7779.133524726639,0.7924895757655339
cluster_1\01484100.csv,8.278248929766612,-0.2706266133615409
cluster_1\01518862.csv,62715.94554916111,0.49430070493260103
cluster_1\01532000.csv,72625.9715336587,0.9070273724955965
cluster_1\01542810.csv,3582.3738789877752,-8.108623118626085
cluster_1\01544500.csv,51764.43214535889,0.8187123312367803
cluster_1\01545600.csv,12740.438987064274,0.5782148797148579
cluster_1\01549500.csv,4842.13991531151,0.7569436598940378
cluster_1\01550000.csv,93441.1160881087,0.7906110377650897
cluster_1\01552500.csv,9779.774067966886,0.10516382529554569
cluster_1\01557500.csv,16793.155235426646,0.4600803128787311
cluster_1\01580000.csv,13443.474979123357,0.37274859412851014
cluster_1\01583500.csv,5701.824888794941,0.23281315434006844
cluster_1\01594950.csv,11.625488138266226,0.7124210846742209
cluster_1\01596500.csv,5637.088228259452,0.6905027034859148
cluster_1\01605500.csv,104583.79433705236,-0.7476252997258284
cluster_1\01620500.csv,1955.0901177963335,0.3354468123944111
cluster_1\01632000.csv,148997.8997078529,0.2871823255282234
cluster_1\01634500.csv,25567.0685185924,0.4290090551658573
cluster_1\01639500.csv,13351.598705874369,0.495963456953347
cluster_1\02011400.csv,7022.09805858807,0.8404921277436661
cluster_1\02011460.csv,3666.3425400575366,0.8279216227207674
cluster_1\02013000.csv,125784.9076899962,0.2720328535207619
cluster_1\02014000.csv,87828.01650464351,0.5286853973814292
cluster_1\02015700.csv,10329.778758422743,0.7249854945066285
cluster_1\02017500.csv,27927.107404365852,0.6358144664769682
cluster_1\02027000.csv,10351.740909413387,0.6277427351728307
cluster_1\02028500.csv,15122.79605627571,0.5551233996850439
