流域,MSE,R²
data_day_4/01333000.csv,2891.060514565154,0.657604454574441
data_day_4/01350000.csv,410286.9374768119,0.5726287462708061
data_day_4/01350080.csv,3353.4035014261804,0.33307308632127286
data_day_4/01350140.csv,2336.544030936702,0.26833695297063886
data_day_4/01365000.csv,13509.53469692719,0.3116025547650282
data_day_4/01411300.csv,75.26771153871695,0.8957354876751787
data_day_4/01413500.csv,100069.1379754636,0.568451559847178
data_day_4/01414500.csv,2053.1929804451584,0.7117625552869502
data_day_4/01415000.csv,5785.777769187931,0.5100770082814325
data_day_4/01423000.csv,250361.78525202497,0.6809843971203747
data_day_4/01434025.csv,1536.788713446996,-4.91157118826147
data_day_4/01435000.csv,30267.262414621542,0.6089913697322252
data_day_4/01439500.csv,18255.338854565245,0.8498524879296723
data_day_4/01440000.csv,6605.735364625824,0.7020295646393855
data_day_4/01440400.csv,12380.089499068825,0.7848994468149585
data_day_4/01451800.csv,6164.742147263219,0.8355538885907429
data_day_4/01466500.csv,1312.581667067671,-1053.48348929112
data_day_4/01484100.csv,30.308099245942294,-3.6519835087132195
data_day_4/01485500.csv,346.8402580704833,0.9510750828186743
data_day_4/01486000.csv,134.02579253094893,0.3603436186140897
data_day_4/01487000.csv,950.3088698364668,0.8034693643554717
data_day_4/01491000.csv,8519.620856438081,0.7910410285055757
data_day_4/01510000.csv,27013.992026896238,0.8063603244614241
data_day_4/01516500.csv,2350.0998271061217,-0.0942268030129243
data_day_4/01518862.csv,50764.36543771978,0.590670226022892
data_day_4/01532000.csv,165246.11017796304,0.7884590770533487
data_day_4/01539000.csv,54786.031203322156,0.8906916996001218
data_day_4/01542810.csv,3330.2971147345397,-7.467687158252723
data_day_4/01543000.csv,163350.7554236202,0.8480138253519965
data_day_4/01543500.csv,2331057.6857456206,0.6931083500602245
data_day_4/01544500.csv,51232.29436883585,0.8205759664196373
data_day_4/01545600.csv,5435.010920211067,0.8200684656894609
data_day_4/01547700.csv,30378.156031597267,0.5962364777128988
data_day_4/01548500.csv,1524460.4566381306,0.6557381825527209
data_day_4/01549500.csv,7624.085759457153,0.6173009426084652
data_day_4/01550000.csv,91302.92457235788,0.7954024371113945
data_day_4/01552000.csv,947216.9732133108,0.6697348065711567
data_day_4/01552500.csv,8383.030342901662,0.2329639977017418
data_day_4/01557500.csv,9464.059342020573,0.6957193638000065
data_day_4/01567500.csv,10456.978668358064,-1.5069759908069096
data_day_4/01568000.csv,245214.02031810797,0.5923743294140358
data_day_4/01580000.csv,12176.060653001794,0.4318841538789443
data_day_4/01583500.csv,2937.9637796665334,0.6046937237208165
data_day_4/01586610.csv,1482.5286151662997,0.5084827804757264
data_day_4/01591400.csv,482.1130668766217,0.6580504484010077
data_day_4/01594950.csv,254.6418067063699,-5.299057183515023
data_day_4/01596500.csv,4464.088290131867,0.7549048016900388
data_day_4/01605500.csv,22223.691860695464,0.6286357136374958
data_day_4/01606500.csv,195676.65463006083,0.8205140042537431
data_day_4/01613050.csv,218918.12728079304,-81.00897783219378
data_day_4/01620500.csv,2722.9763091825544,0.07443520399898274
data_day_4/01632000.csv,125144.35764544412,0.4012995474097395
data_day_4/01632900.csv,4471.766297041519,0.6030779348258537
data_day_4/01634500.csv,25850.79407171626,0.4226725945922106
data_day_4/01638480.csv,36833.35872461134,0.3624002942007226
data_day_4/01639500.csv,27034.974012068004,-0.020597992988172553
data_day_4/01644000.csv,135332.14678472263,0.5203302685427701
data_day_4/01658500.csv,3474.1166924147674,-13.459406850382512
data_day_4/01664000.csv,237535.64394718694,0.7907345520144317
data_day_4/01666500.csv,69242.92949179783,0.44585800048372104
data_day_4/01667500.csv,104765.72713333649,0.7998197097829555
data_day_4/01669000.csv,17275.066283851822,-12.208447212099053
data_day_4/01669520.csv,21969.554006533792,0.6815543603012464
data_day_4/02011400.csv,13449.177660091982,0.6945001772604075
data_day_4/02011460.csv,10734.631172087857,0.49617421378337545
data_day_4/02013000.csv,100622.84276845859,0.41765570237319105
data_day_4/02014000.csv,68273.47920337743,0.6336216050327652
data_day_4/02015700.csv,12768.454691360788,0.6600594906259851
data_day_4/02016000.csv,98573.49026473417,0.8764446651934001
data_day_4/02017500.csv,37402.14732948446,0.5122544994414311
data_day_4/02018000.csv,78065.69778441006,0.9005923719570854
data_day_4/02027000.csv,22682.223939058615,0.1843282480077273
data_day_4/02027500.csv,4372.59601328139,0.3734722717791018
data_day_4/02028500.csv,14552.272154969127,0.5719068524716316
data_day_4/02038850.csv,1318.2473212922189,-13.80107203773011
